ticker,concept,end,value,yoy_growth
BAC,NetIncomeLoss_TTM,2009-06-30,12058000000.0,
BAC,NetIncomeLoss_TTM,2009-09-30,7647000000.0,
BAC,NetIncomeLoss_TTM,2009-12-31,6276000000.0,
BAC,NetIncomeLoss_TTM,2010-03-31,5211000000.0,
BAC,NetIncomeLoss_TTM,2010-06-30,5110000000.0,
BAC,NetIncomeLoss_TTM,2010-09-30,-1188000000.0,
BAC,NetIncomeLoss_TTM,2010-12-31,-2238000000.0,
BAC,NetIncomeLoss_TTM,2011-03-31,-3371000000.0,
BAC,NetIncomeLoss_TTM,2011-06-30,-15320000000.0,
BAC,NetIncomeLoss_TTM,2011-09-30,-1789000000.0,
BAC,NetIncomeLoss_TTM,2011-12-31,1446000000.0,
BAC,NetIncomeLoss_TTM,2012-03-31,50000000.0,
BAC,NetIncomeLoss_TTM,2012-06-30,11339000000.0,
BAC,NetIncomeLoss_TTM,2012-09-30,5447000000.0,
BAC,NetIncomeLoss_TTM,2012-12-31,4188000000.0,
BAC,NetIncomeLoss_TTM,2013-03-31,5018000000.0,
BAC,NetIncomeLoss_TTM,2013-06-30,6567000000.0,
BAC,NetIncomeLoss_TTM,2013-09-30,8724000000.0,
BAC,NetIncomeLoss_TTM,2013-12-31,10539000000.0,
BAC,NetIncomeLoss_TTM,2014-03-31,8780000000.0,
BAC,NetIncomeLoss_TTM,2014-06-30,7059000000.0,
BAC,NetIncomeLoss_TTM,2014-09-30,4330000000.0,
BAC,NetIncomeLoss_TTM,2014-12-31,5520000000.0,
BAC,NetIncomeLoss_TTM,2015-03-31,8893000000.0,
BAC,NetIncomeLoss_TTM,2015-06-30,11736000000.0,
BAC,NetIncomeLoss_TTM,2015-09-30,16587000000.0,
BAC,NetIncomeLoss_TTM,2015-12-31,16208000000.0,
BAC,NetIncomeLoss_TTM,2016-03-31,16583000000.0,
BAC,NetIncomeLoss_TTM,2016-06-30,16232000000.0,
BAC,NetIncomeLoss_TTM,2016-09-30,16568000000.0,
BAC,NetIncomeLoss_TTM,2016-12-31,17822000000.0,
BAC,NetIncomeLoss_TTM,2017-03-31,19687000000.0,
BAC,NetIncomeLoss_TTM,2017-06-30,20010000000.0,
BAC,NetIncomeLoss_TTM,2017-09-30,20479000000.0,
BAC,NetIncomeLoss_TTM,2017-12-31,18232000000.0,
BAC,NetIncomeLoss_TTM,2018-03-31,19813000000.0,
BAC,NetIncomeLoss_TTM,2018-06-30,21491000000.0,
BAC,NetIncomeLoss_TTM,2018-09-30,23234000000.0,
BAC,NetIncomeLoss_TTM,2018-12-31,28147000000.0,
BAC,NetIncomeLoss_TTM,2019-03-31,28540000000.0,
BAC,NetIncomeLoss_TTM,2019-06-30,29104000000.0,
BAC,NetIncomeLoss_TTM,2019-09-30,27714000000.0,
BAC,NetIncomeLoss_TTM,2019-12-31,27430000000.0,
BAC,NetIncomeLoss_TTM,2020-03-31,24129000000.0,
